"leave","country_code","gender","age","years_education","news_consumption","trust_people","trust_politicians","past_vote","immig_econ","immig_culture","country_attach","religion","climate_change","imp_tradition","imp_equality","income","eu_integration","trade_union","unemployed","train"
0,"AT","Male",26,12,30,9,9,"Yes",8,7,10,"Roman Catholic",4,2,2,0,8,0,FALSE,TRUE
0,"AT","Female",72,11,60,6,6,"Yes",6,4,9,"Roman Catholic",3,1,3,0,4,1,FALSE,FALSE
1,"AT","Female",52,12,0,8,0,"Yes",2,2,10,"Roman Catholic",5,1,1,0,0,1,FALSE,TRUE
0,"AT","Male",83,11,60,6,4,"Yes",6,4,9,"Roman Catholic",4,2,2,1,6,1,FALSE,FALSE
0,"AT","Female",30,16,2,9,7,"Yes",7,4,7,"Roman Catholic",3,1,1,0,7,1,FALSE,FALSE
0,"AT","Female",65,13,60,2,6,"Yes",8,8,10,"Roman Catholic",4,5,1,1,9,1,FALSE,FALSE
0,"AT","Female",61,12,15,5,2,"No",6,5,10,"Roman Catholic",3,1,1,0,4,0,FALSE,TRUE
0,"AT","Female",54,16,120,9,6,"Yes",10,10,10,"Roman Catholic",3,3,2,1,10,0,FALSE,TRUE
0,"AT","Male",23,13,10,9,8,"Yes",7,8,9,"Roman Catholic",3,6,1,0,7,0,FALSE,TRUE
1,"AT","Female",58,12,90,4,0,"Yes",0,0,3,"Roman Catholic",3,2,3,1,4,0,FALSE,TRUE
0,"AT","Female",74,11,60,7,5,"Yes",4,5,8,"Roman Catholic",3,2,2,0,0,1,FALSE,TRUE
0,"AT","Male",69,12,90,3,5,"Yes",3,3,10,"Roman Catholic",4,1,1,0,2,1,FALSE,TRUE
0,"AT","Male",63,12,50,5,1,"Yes",2,0,6,"Roman Catholic",4,1,2,1,6,1,FALSE,TRUE
1,"AT","Female",27,13,60,3,3,"Yes",4,4,3,"Roman Catholic",4,1,1,1,4,0,FALSE,FALSE
0,"AT","Male",61,12,60,5,2,"Yes",2,2,8,"Roman Catholic",3,4,4,1,7,1,FALSE,TRUE
0,"AT","Female",60,14,60,4,7,"Yes",3,3,9,"Roman Catholic",2,1,3,0,3,0,FALSE,FALSE
1,"AT","Male",72,11,60,6,2,"No",2,3,6,"Roman Catholic",3,3,3,0,0,1,FALSE,TRUE
0,"AT","Male",29,15,60,6,2,"Yes",8,6,8,"Roman Catholic",2,1,3,0,8,1,FALSE,TRUE
0,"AT","Male",60,12,60,7,4,"Yes",2,1,8,"Roman Catholic",3,4,3,0,3,1,FALSE,FALSE
0,"AT","Female",81,8,20,6,7,"Yes",5,5,7,"Roman Catholic",2,2,2,0,5,0,FALSE,TRUE
1,"AT","Female",44,12,60,8,5,"No",8,6,8,"Other",3,1,2,0,8,1,FALSE,FALSE
0,"AT","Male",72,12,60,7,4,"Yes",4,4,8,"Roman Catholic",3,1,2,0,0,1,FALSE,TRUE
1,"AT","Female",61,12,40,6,3,"Yes",1,1,10,"Roman Catholic",4,2,3,0,0,1,FALSE,TRUE
0,"AT","Female",69,12,15,5,2,"Yes",8,5,10,"Roman Catholic",2,3,2,0,3,0,FALSE,TRUE
0,"AT","Female",28,16,0,5,5,"Yes",8,7,9,"Roman Catholic",5,2,2,1,7,0,FALSE,FALSE
0,"AT","Male",40,16,30,7,7,"Yes",7,7,7,"Roman Catholic",3,3,2,1,9,0,FALSE,TRUE
0,"AT","Male",45,12,50,4,5,"Yes",6,5,8,"Roman Catholic",4,3,2,1,6,1,FALSE,FALSE
1,"AT","Female",44,15,30,9,3,"Yes",2,3,9,"Roman Catholic",3,3,2,0,2,0,FALSE,TRUE
0,"AT","Male",76,9,15,8,6,"Yes",10,10,10,"Roman Catholic",4,2,1,0,10,0,FALSE,FALSE
0,"AT","Female",27,14,60,5,2,"No",5,6,6,"Roman Catholic",3,1,1,0,8,0,FALSE,FALSE
0,"AT","Female",28,16,15,6,4,"Yes",5,5,7,"Other",3,1,2,1,10,0,FALSE,FALSE
1,"AT","Female",46,11,20,5,3,"Yes",4,3,8,"Roman Catholic",3,3,1,0,2,0,FALSE,TRUE
1,"AT","Female",85,8,30,1,3,"Yes",0,0,10,"Roman Catholic",3,3,2,0,8,0,FALSE,TRUE
0,"AT","Male",65,15,60,8,5,"Yes",3,6,10,"Roman Catholic",3,1,1,1,3,0,FALSE,FALSE
0,"AT","Female",34,12,10,8,8,"No",7,7,8,"Roman Catholic",2,1,1,0,5,1,FALSE,FALSE
0,"AT","Female",46,14,25,6,5,"Yes",4,5,6,"Roman Catholic",4,3,4,1,5,0,FALSE,TRUE
1,"AT","Male",52,12,60,3,4,"Yes",2,7,10,"Roman Catholic",4,2,2,0,1,0,FALSE,TRUE
0,"AT","Female",71,11,60,0,2,"Yes",4,5,10,"Roman Catholic",2,1,2,0,1,0,FALSE,FALSE
0,"AT","Female",41,18,45,5,2,"Yes",9,6,8,"Roman Catholic",3,3,2,1,5,0,FALSE,TRUE
0,"AT","Male",49,13,120,5,5,"Yes",4,5,10,"Protestant",4,3,2,0,7,0,TRUE,FALSE
0,"AT","Female",87,8,30,2,7,"Yes",2,5,10,"Roman Catholic",3,4,2,0,4,1,FALSE,FALSE
0,"AT","Female",33,17,45,7,4,"Yes",8,9,10,"Roman Catholic",2,2,1,1,10,0,FALSE,FALSE
0,"AT","Female",53,12,30,8,5,"Yes",6,6,8,"Roman Catholic",1,3,4,1,7,0,FALSE,FALSE
1,"AT","Female",38,11,30,5,0,"No",5,5,10,"Roman Catholic",3,2,1,1,4,0,FALSE,FALSE
0,"AT","Male",69,12,60,7,5,"Yes",5,4,7,"Roman Catholic",3,1,1,1,0,0,FALSE,FALSE
0,"AT","Female",55,11,30,7,5,"Yes",6,8,10,"Roman Catholic",4,3,1,0,4,0,FALSE,TRUE
1,"AT","Female",36,13,5,5,1,"Yes",5,5,5,"Roman Catholic",4,1,3,1,1,0,FALSE,TRUE
0,"AT","Female",74,5,30,7,9,"Yes",3,4,6,"Roman Catholic",2,4,3,0,7,1,FALSE,TRUE
0,"AT","Female",39,14,30,6,3,"Yes",5,5,6,"Roman Catholic",3,3,3,1,6,0,FALSE,FALSE
0,"AT","Female",59,12,120,4,6,"Yes",7,7,10,"Roman Catholic",4,1,2,1,5,0,FALSE,FALSE
0,"AT","Male",57,11,60,3,2,"Yes",5,3,8,"Roman Catholic",4,3,2,1,2,1,FALSE,TRUE
0,"AT","Female",73,11,90,0,0,"Yes",1,5,10,"Roman Catholic",3,3,1,0,1,1,FALSE,TRUE
0,"AT","Male",46,11,60,7,3,"Yes",9,6,9,"Roman Catholic",2,3,2,1,5,0,FALSE,TRUE
0,"AT","Male",63,8,90,2,3,"Yes",7,7,5,"Islamic",3,1,2,0,5,1,FALSE,FALSE
0,"AT","Female",28,14,10,7,4,"Yes",7,3,7,"Roman Catholic",3,1,2,0,7,0,FALSE,TRUE
