"","ONSConstID","ConstituencyName","HouseWageRatio","UnempConstRate","UnempConstRateChange","WageMedianConst","social_mobility_score","deprivation_index_score"
"364","E14000893","Reigate",11.7364253393665,0.0143575934495322,-0.0105566340790545,680,31.3106305520012,10.2806678883897
"365","E14000894","Ribble Valley",6.30904183535762,0.0165678223264828,-0.00358139481449279,570,41.5342988553735,11.4302573812383
"366","E14000895","Richmond (Yorks)",7.51748251748252,0.0168825660908501,-0.00580082236259874,550,-22.1036042739861,12.9116622946621
"367","E14000896","Richmond Park",15.1879370629371,0.0180385790385528,-0.0029654804502311,880,43.2559548930793,9.22423905726739
"368","E14000897","Rochdale",5.31894435351882,0.0717529885975078,-0.0130833037023429,470,-4.35508409909936,37.6741026333808
"369","E14000898","Rochester and Strood",7.95595533498759,0.0340252857802142,-0.0115185041258827,620,20.0025898404086,19.6809275498241
"370","E14000899","Rochford and Southend East",8.13366960907945,0.0582011315816527,-0.00933529874206111,610,13.2220428529884,29.7717437363942
"371","E14000900","Romford",9.75274725274725,0.0289838084412499,-0.0142954316234182,700,21.6548079178822,17.2933481545346
"372","E14000901","Romsey and Southampton North",10.6810897435897,0.0161508005273846,-0.00753031693345184,600,50.369361807887,12.2826087410484
"373","E14000902","Rossendale and Darwen",5.20015698587127,0.041446724460292,0.00255385170356769,490,-17.2734119314756,23.695810346788
"374","E14000903","Rother Valley",5.48951048951049,0.0327307385651786,-0.0201016783538422,550,19.8744596871677,20.7837353817445
"375","E14000904","Rotherham",5.01672240802676,0.0625998401629196,-0.0232074989743003,460,-17.5027939692143,38.3539069898407
"376","E14000905","Rugby",7.25094577553594,0.0292279017340547,-0.0119886854086123,610,-7.77230724678646,13.5208068749358
"377","E14000906","Ruislip, Northwood and Pinner",14.8158179848321,0.0166986930423516,-0.00933458736442487,710,53.739427764783,9.86596773377732
"378","E14000907","Runnymede and Weybridge",11.6360089186176,0.0122874367995003,-0.00952088870945541,690,42.6653988539599,9.90934612306298
"379","E14000908","Rushcliffe",7.87606052036199,0.0158574309469929,-0.00880537156699727,680,53.8980227148595,7.6328372044229
"380","E14000909","Rutland and Melton",8.79898403483309,0.0191224991922198,-0.00427422603196984,530,-2.75041382854297,11.260522141988
"381","E14000910","Saffron Walden",12.3543123543124,0.0133489255631413,-0.0092100078556011,660,15.1063826465014,10.4029620426154
"382","E14000911","Salford and Eccles",6.27943485086342,0.050196592960134,-0.0141227377737207,490,-45.7472361529842,33.0999647458129
"383","E14000912","Salisbury",9.61538461538461,0.0208466358373884,-0.0015489501609563,580,-46.8861395294738,13.4636532955382
"384","E14000913","Scarborough and Whitby",6.35016025641026,0.0325189346088531,-0.0236476066091033,480,-53.4763042891004,25.3979604170094
"385","E14000914","Scunthorpe",5.00801282051282,0.0527955519748396,-0.0206594388732878,480,-31.8290011365965,25.9461445642248
"386","E14000915","Sedgefield",4.45804195804196,0.0522877331960911,0.00361648712367186,550,44.9186393572994,25.3482764828366
"387","E14000916","Sefton Central",5.97956730769231,0.0211183527016883,-0.0162711288381705,640,35.6883795150804,13.3944779423966
"388","E14000917","Selby and Ainsty",7.17076271186441,0.0175849295603766,-0.0168967259069701,590,15.5056635020309,12.4317558521179
"389","E14000918","Sevenoaks",13.3620689655172,0.0155473651212174,-0.0082434731666932,580,27.186852473424,11.2944269953547
"390","E14000919","Sheffield Central",5.11555330634278,0.0351515598172372,-0.0297352112918032,570,0.0915026895165028,27.9359477311938
"391","E14000920","Sheffield South East",5.2790346907994,0.0375880372006894,-0.0220961036129525,510,-50.0176814529222,27.4434499894269
"392","E14000921","Sheffield, Brightside and Hillsborough",5.01672240802676,0.0611624579408468,-0.0415353036767616,460,-72.7117426091167,44.1112421421212
"393","E14000922","Sheffield, Hallam",8.71394230769231,0.012516906689248,-0.0120460528764659,640,51.1211687160282,7.70220587514729
"394","E14000923","Sheffield, Heeley",5.62409288824383,0.0470711097000574,-0.0241460190111662,530,-40.2632789144785,31.8761278478261
"395","E14000924","Sherwood",5.83916083916084,0.0292801201903697,-0.0117002358827172,550,-39.8678367709727,20.1944464929479
"396","E14000925","Shipley",6.45863570391872,0.0292532723488154,-0.0103762523198218,530,-27.5934285095259,17.3820651762031
"397","E14000926","Shrewsbury and Atcham",7.49912587412587,0.0248004065835588,-0.00782573016029213,550,-21.7208165705126,15.7205123874313
"398","E14000927","Sittingbourne and Sheppey",7.69230769230769,0.0467690239262329,-0.00531158451356957,600,14.1043413975666,27.1955283595073
"399","E14000928","Skipton and Ripon",8.74038461538461,0.0153316228630075,-0.00711390652825608,500,-8.22150590179552,12.0679999296419
"400","E14000929","Sleaford and North Hykeham",6.66329284750337,0.0194021620345159,-0.007040880202724,570,60.3845823608902,11.9822269849609
"401","E14000930","Slough",10.1592055485498,0.0336335183133246,-0.0132064975567932,610,38.2409570629194,22.835055803736
"402","E14000931","Solihull",7.52747252747253,0.0206495199974379,-0.0126368125014055,700,62.642960752365,11.5745253578711
"403","E14000932","Somerton and Frome",9.44368131868132,0.0245621225924484,0.00158348524841179,560,-21.6146502246763,15.8330820165465
"404","E14000933","South Basildon and East Thurrock",9.44368131868132,0.0376630776660448,-0.0156357984668204,560,-39.4935698287712,24.3398195756543
"405","E14000934","South Cambridgeshire",9.74697049525817,0.01030183527591,-0.00626286333485483,730,19.6269553638188,7.85982684929542
"406","E14000935","South Derbyshire",6.73076923076923,0.0194977130602434,-0.0124748038929324,600,-42.061540537402,13.6764687193301
"407","E14000936","South Dorset",9.04977375565611,0.0287748428046915,-0.00362279649672417,510,-112.201992286576,20.8314053905692
"408","E14000937","South East Cambridgeshire",9.32400932400932,0.011950205015584,-0.00996518821869841,660,-25.5784334100591,10.1218263607853
"409","E14000938","South East Cornwall",7.59615384615385,0.0289951098475826,0.00102516115004112,500,-30.4396787979294,21.5822140291021
"410","E14000939","South Holland and The Deepings",7.088895173454,0.0245434275424025,-0.0131886970245167,510,37.3382717699569,17.3854767271907
"411","E14000940","South Leicestershire",7.21153846153846,0.0166796840141248,-0.00965159141183179,600,11.2026695146653,9.79714924855606
"412","E14000941","South Norfolk",8.3114406779661,0.0176789538164147,-0.00801725736180951,590,3.13879363010736,13.3738148778023
"413","E14000942","South Northamptonshire",9.61375488917862,0.0116160900475035,-0.00912065552902869,590,20.0989123601222,8.35643929973222
